AlascaCedar,-404,-396,-1035,-1027
SpruceTree,-395,-391,-1031,-1027
SpruceTree,-360,-356,-1033,-1029
SpruceTree2,-359,-353,-1035,-1031
AlascaCedar,-351,-343,-1052,-1044
SpruceTree,-356,-352,-1058,-1054
SpruceTree3,-353,-349,-1063,-1059
AlascaCedar,-354,-346,-1061,-1053
SpruceTree3,-354,-350,-1054,-1050
SpruceTree,-347,-343,-1058,-1054
SpruceTreeBig,-363,-353,-1054,-1044
AlascaCedar,-363,-355,-1061,-1053
SpruceTreeBig,-360,-350,-1078,-1068
SpruceTree,-361,-357,-1074,-1070
SpruceTree2,-353,-347,-1071,-1067
SpruceTree,-351,-347,-1081,-1077
SpruceTree3,-350,-346,-1075,-1071
SpruceTree2,-361,-355,-1081,-1077
SpruceTree3,-336,-332,-1028,-1024
